player,FG_URL,position,fangraphs_id,mlbam_id,franchise_abbr,HTD
Alan Busenitz ,https://www.fangraphs.com/players/Alan-Busenitz/15239/stats,P,15239,641427,ATL,2
Matt Bush ,https://www.fangraphs.com/players/Matt-Bush/1246/stats,P,1246,456713,LAD,1
Miguel Cabrera ,https://www.fangraphs.com/players/Miguel-Cabrera/1744/stats,1B,1744,408234,ARI,2
Kole Calhoun ,https://www.fangraphs.com/players/Kole-Calhoun/11200/stats,RF,11200,594777,SEA,2
Willie Calhoun ,https://www.fangraphs.com/players/Willie-Calhoun/17838/stats,LF,17838,641432,DET,0
Johan Camargo ,https://www.fangraphs.com/players/Johan-Camargo/14950/stats,SS,14950,622666,BOS,1
Jeimer Candelario ,https://www.fangraphs.com/players/Jeimer-Candelario/13621/stats,3B,13621,600869,CHW,2
Mark Canha ,https://www.fangraphs.com/players/Mark-Canha/11445/stats,CF,11445,592192,SD,0
Matthew Carasiti ,https://www.fangraphs.com/players/Matthew-Carasiti/13276/stats,P,13276,571539,LAA,1
Victor Caratini ,https://www.fangraphs.com/players/Victor-Caratini/14968/stats,C,14968,605170,ATL,2
Matt Carpenter ,https://www.fangraphs.com/players/Matt-Carpenter/8090/stats,3B,8090,572761,CLE,2
Carlos Carrasco ,https://www.fangraphs.com/players/Carlos-Carrasco/6632/stats,P,6632,471911,LAA,2
Curt Casali ,https://www.fangraphs.com/players/Curt-Casali/12510/stats,C,12510,592200,COL,2
Daniel Castano ,https://www.fangraphs.com/players/Daniel-Castano/19805/stats,P,19805,641447,BAL,1
Humberto Castellanos ,https://www.fangraphs.com/players/Humberto-Castellanos/21183/stats,P,21183,528748,LAA,2
Nick Castellanos ,https://www.fangraphs.com/players/Nick-Castellanos/11737/stats,3B,11737,592206,TB,1
Diego Castillo ,https://www.fangraphs.com/players/Diego-Castillo/17496/stats,P,17496,650895,CLE,0
Harold Castro ,https://www.fangraphs.com/players/Harold-Castro/14691/stats,2B,14691,605612,SEA,0
Jake Cave ,https://www.fangraphs.com/players/Jake-Cave/14477/stats,CF,14477,595909,LAA,0
Luis Cessa ,https://www.fangraphs.com/players/Luis-Cessa/13345/stats,P,13345,570666,NYY,0
Andrew Chafin ,https://www.fangraphs.com/players/Andrew-Chafin/12988/stats,P,12988,605177,NYM,2
Aroldis Chapman ,https://www.fangraphs.com/players/Aroldis-Chapman/10233/stats,P,10233,547973,DET,1
Matt Chapman ,https://www.fangraphs.com/players/Matt-Chapman/16505/stats,3B,16505,656305,MIA,1
JT Chargois ,https://www.fangraphs.com/players/JT-Chargois/13767/stats,P,13767,608638,COL,1
Jesse Chavez ,https://www.fangraphs.com/players/Jesse-Chavez/5448/stats,P,5448,445926,ATL,1
Michael Chavis ,https://www.fangraphs.com/players/Michael-Chavis/17321/stats,2B,17321,656308,STL,2
Yonny Chirinos ,https://www.fangraphs.com/players/Yonny-Chirinos/16401/stats,P,16401,630023,PHI,2
Ji-Man Choi ,https://www.fangraphs.com/players/Ji-Man-Choi/5452/stats,1B,5452,596847,TOR,1
Jose Cisnero ,https://www.fangraphs.com/players/Jose-Cisnero/6399/stats,P,6399,542585,HOU,2
Alex Claudio ,https://www.fangraphs.com/players/Alex-Claudio/12890/stats,P,12890,592222,HOU,0
Garrett Cleavinger ,https://www.fangraphs.com/players/Garrett-Cleavinger/17897/stats,P,17897,664076,SD,0
Alex Cobb ,https://www.fangraphs.com/players/Alex-Cobb/6562/stats,P,6562,502171,TEX,2
Alex Colome ,https://www.fangraphs.com/players/Alex-Colome/6661/stats,P,6661,517008,MIA,2
Willson Contreras ,https://www.fangraphs.com/players/Willson-Contreras/11609/stats,C,11609,575929,HOU,0
Patrick Corbin ,https://www.fangraphs.com/players/Patrick-Corbin/9323/stats,P,9323,571578,MIL,2
Franchy Cordero ,https://www.fangraphs.com/players/Franchy-Cordero/14567/stats,CF,14567,614173,SF,1
Jimmy Cordero ,https://www.fangraphs.com/players/Jimmy-Cordero/15690/stats,P,15690,622772,KC,1
Carlos Correa ,https://www.fangraphs.com/players/Carlos-Correa/14162/stats,SS,14162,621043,LAD,0
Thomas Cosgrove ,https://www.fangraphs.com/players/Thomas-Cosgrove/23443/stats,P,23443,676680,NYM,1
Brandon Crawford ,https://www.fangraphs.com/players/Brandon-Crawford/5343/stats,SS,5343,543063,CIN,1
Cooper Criswell ,https://www.fangraphs.com/players/Cooper-Criswell/24975/stats,P,24975,681867,BOS,2
Declan Cronin ,https://www.fangraphs.com/players/Declan-Cronin/25645/stats,P,25645,686539,MIA,1
Wil Crowe ,https://www.fangraphs.com/players/Wil-Crowe/19800/stats,P,19800,640444,LAD,2
Nelson Cruz ,https://www.fangraphs.com/players/Nelson-Cruz/2434/stats,RF,2434,443558,BAL,0
Jose Cuas ,https://www.fangraphs.com/players/Jose-Cuas/17701/stats,P,17701,621016,TEX,1
Johnny Cueto ,https://www.fangraphs.com/players/Johnny-Cueto/6893/stats,P,6893,456501,SEA,0
Charlie Culberson ,https://www.fangraphs.com/players/Charlie-Culberson/3298/stats,3B,3298,518586,CIN,1
John Curtiss ,https://www.fangraphs.com/players/John-Curtiss/16128/stats,P,16128,595928,LAA,1
David Dahl ,https://www.fangraphs.com/players/David-Dahl/13744/stats,CF,13744,621311,BAL,1
Travis d'Arnaud ,https://www.fangraphs.com/players/Travis-d'Arnaud/7739/stats,C,7739,518595,MIN,0
Zach Davies ,https://www.fangraphs.com/players/Zach-Davies/13183/stats,P,13183,605200,SEA,1
Jonathan Davis ,https://www.fangraphs.com/players/Jonathan-Davis/15104/stats,CF,15104,641505,LAA,1
Brett de Geus ,https://www.fangraphs.com/players/Brett-de-Geus/23592/stats,P,23592,676969,BOS,1
Paul Dejong ,https://www.fangraphs.com/players/Paul-Dejong/18015/stats,3B,18015,657557,CIN,1
Chase De Jong ,https://www.fangraphs.com/players/Chase-De-Jong/15036/stats,P,15036,608328,CLE,1
Jason Delay ,https://www.fangraphs.com/players/Jason-Delay/19806/stats,C,19806,641511,NYM,1
Jose De Leon ,https://www.fangraphs.com/players/Jose-De-Leon/15463/stats,P,15463,592254,LAD,1
Anthony DeSclafani ,https://www.fangraphs.com/players/Anthony-DeSclafani/13050/stats,P,13050,543101,PIT,1
Chris Devenski ,https://www.fangraphs.com/players/Chris-Devenski/12763/stats,P,12763,606965,MIA,2
Aledmys Diaz ,https://www.fangraphs.com/players/Aledmys-Diaz/15937/stats,SS,15937,649557,TOR,0
Corey Dickerson ,https://www.fangraphs.com/players/Corey-Dickerson/10762/stats,LF,10762,572816,CHC,2
Brandon Dixon ,https://www.fangraphs.com/players/Brandon-Dixon/15214/stats,2B,15214,641525,CHC,1
Seranthony Dominguez ,https://www.fangraphs.com/players/Seranthony-Dominguez/19249/stats,P,19249,622554,ARI,0
Josh Donaldson ,https://www.fangraphs.com/players/Josh-Donaldson/5038/stats,3B,5038,518626,ARI,2
Hunter Dozier ,https://www.fangraphs.com/players/Hunter-Dozier/15117/stats,3B,15117,641531,ARI,1
Brandon Drury ,https://www.fangraphs.com/players/Brandon-Drury/11615/stats,3B,11615,592273,BOS,2
Tyler Duffey ,https://www.fangraphs.com/players/Tyler-Duffey/13758/stats,P,13758,608648,ATL,2
Matt Duffy ,https://www.fangraphs.com/players/Matt-Duffy/13836/stats,SS,13836,622110,TOR,1
C.J. Edwards ,https://www.fangraphs.com/players/C.J.-Edwards/13607/stats,P,13607,605218,BAL,2
Zach Eflin ,https://www.fangraphs.com/players/Zach-Eflin/13774/stats,P,13774,621107,TEX,2
Adam Engel ,https://www.fangraphs.com/players/Adam-Engel/15082/stats,CF,15082,641553,LAA,2
Eduardo Escobar ,https://www.fangraphs.com/players/Eduardo-Escobar/6153/stats,SS,6153,500871,TB,2
Paolo Espino ,https://www.fangraphs.com/players/Paolo-Espino/8246/stats,P,8246,502179,CHW,1
Jeurys Familia ,https://www.fangraphs.com/players/Jeurys-Familia/5114/stats,P,5114,544727,COL,1
Jacob Faria ,https://www.fangraphs.com/players/Jacob-Faria/13699/stats,P,13699,607188,SD,1
Buck Farmer ,https://www.fangraphs.com/players/Buck-Farmer/14814/stats,P,14814,571656,BOS,2
Kyle Farmer ,https://www.fangraphs.com/players/Kyle-Farmer/14813/stats,C,14813,571657,MIL,1
Calvin Faucher ,https://www.fangraphs.com/players/Calvin-Faucher/20116/stats,P,20116,676534,TEX,2
Tyler Ferguson ,https://www.fangraphs.com/players/Tyler-Ferguson/19481/stats,P,19481,621053,KC,2
Ryan Fernandez ,https://www.fangraphs.com/players/Ryan-Fernandez/24862/stats,P,24862,681676,WAS,1
Jose Ferrer ,https://www.fangraphs.com/players/Jose-Ferrer/24017/stats,P,24017,678606,TB,2
Wilmer Flores ,https://www.fangraphs.com/players/Wilmer-Flores/5827/stats,SS,5827,527038,ATL,2
Dylan Floro ,https://www.fangraphs.com/players/Dylan-Floro/13394/stats,P,13394,571670,DET,1
Matt Foster ,https://www.fangraphs.com/players/Matt-Foster/19647/stats,P,19647,641582,ARI,2
Adam Frazier ,https://www.fangraphs.com/players/Adam-Frazier/15223/stats,SS,15223,624428,NYY,1
David Fry ,https://www.fangraphs.com/players/David-Fry/24934/stats,C,24934,681807,KC,2
Carson Fulmer ,https://www.fangraphs.com/players/Carson-Fulmer/18311/stats,P,18311,608334,NYY,2
Cameron Gallagher ,https://www.fangraphs.com/players/Cameron-Gallagher/12981/stats,C,12981,595956,CHC,2
Benjamin Gamel ,https://www.fangraphs.com/players/Benjamin-Gamel/12160/stats,LF,12160,592325,MIN,2
Luis Garcia ,https://www.fangraphs.com/players/Luis-Garcia/6984/stats,P,6984,472610,HOU,2
Robert Garcia ,https://www.fangraphs.com/players/Robert-Garcia/23363/stats,P,23363,676395,CHC,2
Yimi Garcia ,https://www.fangraphs.com/players/Yimi-Garcia/12095/stats,P,12095,554340,BOS,0
Kyle Garlick ,https://www.fangraphs.com/players/Kyle-Garlick/18063/stats,CF,18063,664247,CLE,2
Amir Garrett ,https://www.fangraphs.com/players/Amir-Garrett/14375/stats,P,14375,607237,BOS,1
Reed Garrett ,https://www.fangraphs.com/players/Reed-Garrett/16866/stats,P,16866,657585,MIA,2
Domingo German ,https://www.fangraphs.com/players/Domingo-German/17149/stats,P,17149,593334,NYY,1
